entity,coupled,degree,average-revs
core/src/test/java/org/apache/struts2/views/jsp/ui/SubmitTest.java,core/src/test/resources/org/apache/struts2/views/jsp/ui/Submit-5.txt,71,7
apps/pom.xml,plugins/sitegraph/pom.xml,70,91
apps/portlet/pom.xml,plugins/spring/pom.xml,70,90
apps/pom.xml,plugins/sitemesh/pom.xml,70,90
apps/pom.xml,plugins/codebehind/pom.xml,70,89
plugins/pom.xml,plugins/spring/pom.xml,70,86
plugins/dwr/pom.xml,plugins/junit/pom.xml,70,27
plugins/convention/pom.xml,plugins/javatemplates/pom.xml,70,27
plugins/rest/src/main/java/org/apache/struts2/rest/RestActionMapper.java,plugins/rest/src/test/java/org/apache/struts2/rest/RestActionMapperTest.java,70,19
core/src/site/resources/tags/ajax/bind.html,core/src/site/resources/tags/ajax/submit.html,70,10
core/src/site/resources/tags/checkboxlist.html,core/src/site/resources/tags/updownselect.html,70,10
core/src/site/resources/tags/inputtransferselect.html,core/src/site/resources/tags/radio.html,70,9
core/src/test/resources/org/apache/struts2/views/jsp/ui/Formtag-11.txt,core/src/test/resources/org/apache/struts2/views/jsp/ui/Formtag-6.txt,70,9
apps/portlet/pom.xml,apps/showcase/pom.xml,69,117
apps/blank/pom.xml,apps/showcase/pom.xml,69,112
apps/showcase/pom.xml,plugins/sitemesh/pom.xml,69,102
apps/mailreader/pom.xml,apps/pom.xml,69,100
core/src/site/resources/tags/ajax/autocompleter.html,core/src/site/resources/tags/ajax/tree.html,69,13
